order,task_id,phase,title,completion,status
1,SV5_01_APPROVAL_BASELINE,기준과 전체 연결,승인된 전체 구조 기준 등록,"624×416 예시의 파일·셀·번호표 SHA, 사용자 승인 범위, 점프맵 수정 범위를 기록한다.",PLANNED_NOT_INSTALLED
2,SV5_02_RULES,기준과 전체 연결,SPACE v5 규칙 등록,승인된 공간 구성과 점프맵의 고체 혼합·매달림·1~2칸 외곽 굴곡 규칙을 계속 읽는 정본에 연결한다.,PLANNED_NOT_INSTALLED
3,SV5_03_BINDINGS,기준과 전체 연결,SV5 코드·데이터 접점 확인,현재 SV5 타입/API/파일을 대조하고 FOUNDATION·ADAPT·NEW를 기록한다.,PLANNED_NOT_INSTALLED
4,SV5_04_CORE_RESERVE,기준과 전체 연결,핵심 구역과 복귀 통로 선예약,"Start·세 자원·Village·Forge·Seal/Boss·Exit의 정본 ID, 보호 셀, 접근과 복귀를 먼저 예약한다.",PLANNED_NOT_INSTALLED
5,SV5_05_ROUTE_STATE,기준과 전체 연결,진행 조건과 지름길 규칙 연결,세 자원 6가지 획득 순서와 제작→봉인→보스→출구 조건을 유지하며 랜덤 연결로 조건을 우회하지 못하게 한다.,PLANNED_NOT_INSTALLED
6,SV5_06_SPACE_GRAPH,기준과 전체 연결,전체 장소·통로 배치 그래프 작성,큰 장소·핵심 구역·보통 공간을 묶어 연결하고 공간을 먼저 설계한 뒤 12×8 청크와 4×4 패턴으로 분해한다.,PLANNED_NOT_INSTALLED
7,SV5_07_DIVERSITY,기준과 전체 연결,가까운 독립 지형의 반복 억제,같은 Family의 독립 공간이 인접해 몰리는 현상을 줄이고 한 긴 동굴의 여러 청크는 중복 스폰으로 세지 않는다.,PLANNED_NOT_INSTALLED
8,SV5_08_INFILL,기준과 전체 연결,일반 방·굴·계단참으로 사이 공간 구성,큰 외부 AIR 대신 실제 들어갈 수 있는 작은 방과 연결 공간으로 잔여 영역을 채운다. 보상 없는 공간도 허용한다.,PLANNED_NOT_INSTALLED
9,SV5_09_LOOPS,기준과 전체 연결,재합류 통로와 지름길 후보 생성,"서로 다른 연결 지점 사이의 추가 경로를 만들고 실제 다른 공간에 닿는지, 진행 조건을 보존하는지 확인한다.",PLANNED_NOT_INSTALLED
10,SV5_10_SIDEPATH,기준과 전체 연결,불규칙한 2칸 샛길 제작,"유효 통로 약 2칸, 중심선 길이 약 20~50칸으로 만들고 점프 접점은 머리 여유와 복귀를 확보한다.",PLANNED_NOT_INSTALLED
11,SV5_11_HUB_SHELL,허브와 점프맵,여섯 갈래길의 공간·출입구 제작,약 12×30 내부와 좌우 세 높이대의 6~7칸 개구를 만들고 4~6개의 실제 외부 연결을 확보한다.,PLANNED_NOT_INSTALLED
12,SV5_12_TREE_GRAB,허브와 점프맵,계수나무의 실제 등반 지형 제작,장식 줄기와 SOLID 가지·안전 모서리를 구분하여 최대 1~2칸 동작으로 활성 출입구에 도달하도록 만든다.,PLANNED_NOT_INSTALLED
13,SV5_13_JUMP_CONTRACT,허브와 점프맵,점프맵 데이터와 거리 기준 정의,"각 지지물의 재질·크기·지지면, gap_air·rise·진입 방향·Grab 모서리·검증 상태를 기록한다.",PLANNED_NOT_INSTALLED
14,SV5_14_JUMP_SOLID,허브와 점프맵,고체 지지물을 포함한 점프 루트 제작,ONE_WAY만으로 된 루트를 고치고 실제 경로에 착지하거나 매달리는 SOLID 블록을 포함한다. 장식용 고체는 실적으로 세지 않는다.,PLANNED_NOT_INSTALLED
15,SV5_15_JUMP_GRAB,허브와 점프맵,매달림 모서리와 착지 여유 제작,고체의 노출된 안전 모서리에 접근·매달림·당겨 오르기·착지 공간을 만들고 ONE_WAY 측면은 Grab에서 제외한다.,PLANNED_NOT_INSTALLED
16,SV5_16_JUMP_OUTLINE,허브와 점프맵,점프맵 외곽을 1~2칸 불규칙하게 변경,긴 직사각형 내부 경계에 완만한 국소 굴곡을 넣고 예약 범위·출입구·지지면·주변 보호 공간을 보존한다.,PLANNED_NOT_INSTALLED
17,SV5_17_JUMP_RECIPES,허브와 점프맵,점프맵의 혼합 루트 변형 작성,"+1칸 점프, 최대 +2칸 Jump+Grab, 수평 연결을 조합하고 기존 #012와 대응되는 수정 전후 레시피를 남긴다.",PLANNED_NOT_INSTALLED
18,SV5_18_JUMP_CLEARANCE,허브와 점프맵,머리·옆면·아래면 충돌 검사,Player 전체 몸체의 접근·도약·매달림·올라서기 궤적을 검사한다. 외곽 굴곡 때문에 생긴 충돌도 포함한다.,PLANNED_NOT_INSTALLED
19,SV5_19_JUMP_RECOVERY,허브와 점프맵,실패 후 재시도·복귀 경로 제작,낙하 후 다음 시도나 정상 길로 복귀하는 지지물을 배치하고 실제 낙하 피해·회복 가능성을 확인한다.,PLANNED_NOT_INSTALLED
20,SV5_20_JUMP_PLAYER,허브와 점프맵,실제 Player로 점프맵 검증,무아이템 상태로 양방향 요구 동작과 전체 도전 루트를 검증한다. 실패한 간격은 지형을 수정하며 플레이어 능력을 올리지 않는다.,PLANNED_NOT_INSTALLED
21,SV5_21_LIBRARY,장소별 지형,대형 도서관 공간과 층별 발판 제작,"내부 약 18~20×20~25, 층간 3~5칸인 하나의 큰 공간을 만들고 책장은 비충돌 배경으로 구분한다.",PLANNED_NOT_INSTALLED
22,SV5_22_STAIR_DATA,장소별 지형,대각 발판 계단의 경로·접촉 데이터 작성,계단별 하단·상단·방향·연결 발판과 접촉 상승·Down 하강 요청을 명시한다.,PLANNED_NOT_INSTALLED
23,SV5_23_STAIR_MOTOR,장소별 지형,접촉 상승·아래키 하강 구현,실제 이동 상태와 계단 진입·끝점·하차를 연결하고 다른 점프·낙하·매달림 상태와의 충돌을 검증한다.,PLANNED_NOT_INSTALLED
24,SV5_24_CAVE,장소별 지형,거친 동굴과 떠 있는 장애물 제작,약 50칸 길이·20칸 상하 변화·5~9칸 통로에서 불규칙한 바닥·천장·공중 장애물과 정상 이동 지지를 유지한다.,PLANNED_NOT_INSTALLED
25,SV5_25_RATDEN,장소별 지형,쥐 소굴의 무아이템 연결 제작,둥근 공동과 약 2칸 연결 통로의 모양을 유지하면서 점프·Grab으로 요구 방향을 완주하도록 구성한다.,PLANNED_NOT_INSTALLED
26,SV5_26_CANYON,장소별 지형,아래로 좁아지는 협곡 제작,"상부 약 10칸·깊이 약 20칸, 하부로 차오르는 좌우 벽을 4×4 패턴으로 구성하고 갈비뼈형 돌출을 피한다.",PLANNED_NOT_INSTALLED
27,SV5_27_HOUSING,장소별 지형,좌우 비대칭 주거지 제작,5×3 생활 방의 층 높이를 좌우 지그재그로 배치하고 복도·정차점·생활 흔적을 만든다.,PLANNED_NOT_INSTALLED
28,SV5_28_HALL,장소별 지형,높이 15~20칸의 회랑 제작,큰 활동 공간과 정상 통과 바닥을 만들고 샹들리에·장식 기둥은 이동 충돌과 분리한다.,PLANNED_NOT_INSTALLED
29,SV5_29_RANCH,장소별 지형,희귀 목장과 주변 호수 관계 작성,"약 10~12×6~7 목장, 비충돌 울타리·장식 동물·양치기 슬롯, 매우 낮은 출현과 호수 인접 선호를 정의한다.",PLANNED_NOT_INSTALLED
30,SV5_30_LAKE,장소별 지형,호수와 마른 이동 경로 제작,폭 약 10~15칸·깊이 1~4칸의 물구덩이를 만들고 물 이동 기능에 의존하지 않는 필수 통과 경로를 둔다.,PLANNED_NOT_INSTALLED
31,SV5_31_FARM,장소별 지형,비대칭 다층 농장 제작,약 6~8×4~5 재배 공간 여러 개를 연결하고 낮은 출현·호수 인접 선호·정상 접근을 유지한다.,PLANNED_NOT_INSTALLED
32,SV5_32_RAIL_PATH,장치와 특수 구역,철도 경로와 3칸 통로 제작,"약 60회 이동, dx=±1·dy=0 또는 ±1인 선로를 만들고 순수 수직 이동을 금지한다. 끊어진 선로는 별도 변형이다.",PLANNED_NOT_INSTALLED
33,SV5_33_RAIL_RIDE,장치와 특수 구역,열차 탑승·주행·종점 배치 구현,무작위 한쪽 종점에 열차를 두고 실제 탑승·단위 이동·종점 정지를 연결한다. 반대편에서 자동 호출하지 않는다.,PLANNED_NOT_INSTALLED
34,SV5_34_RAIL_CRASH,장치와 특수 구역,탈선·폭발·피해 상태 구현,"완료된 한 칸 이동당 0.07% 탈선, 열차 소멸·피해 2·나뒹굴기와 중복 처리 방지·상태 보존을 구현한다.",PLANNED_NOT_INSTALLED
35,SV5_35_CAPSULE,장치와 특수 구역,Type0 타임 캡슐 공간 제작,약 7×5 봉쇄 공간에 상자·편지 슬롯을 두고 일반 샛길로 뚫리지 않게 한다. 편지 콘텐츠 확장은 후속이다.,PLANNED_NOT_INSTALLED
