rule_id,source_path,source_sha256,source_section,source_line,classification,consumer_tasks,statement
V5R-001,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,1. 승인된 기준,7,APPROVAL_OR_REFERENCE,SV5_03-SV5_12;SV5_41-SV5_45,사용자 발언: “완벽해. 이정도의 구조를 원했어”.
V5R-002,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,1. 승인된 기준,8,APPROVAL_OR_REFERENCE,SV5_03-SV5_12;SV5_41-SV5_45,승인 대상은 `SPACE_EXAMPLE_624x416.pdf`와 동일 셀로 만든 전체 PNG·중앙 확대 PNG의 공간 구성 방식이다.
V5R-003,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,1. 승인된 기준,9,NORMATIVE,SV5_03-SV5_12;SV5_41-SV5_45,"전체 624×416, 타일 1×1, Pattern 4×4, MicroChunk 12×8, 마이크로 청크 52×52를 유지한다."
V5R-004,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,1. 승인된 기준,10,NORMATIVE,SV5_03-SV5_12;SV5_41-SV5_45,카메라의 기존 12×8 시야와 Player 0.4×0.8 발바닥 pivot을 새 맵에 맞춘다는 이유로 임의 변경하지 않는다.
V5R-005,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,1. 승인된 기준,11,NORMATIVE,SV5_03-SV5_12;SV5_41-SV5_45,큰 장소가 여러 청크를 차지하고 그 사이에 작은 방·샛길·재합류 통로가 연결되어 하나의 지형으로 읽히는 구성을 유지한다.
V5R-006,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,1. 승인된 기준,12,APPROVAL_OR_REFERENCE,SV5_03-SV5_12;SV5_41-SV5_45,각 시드마다 예시의 101개 장소·166개 연결·셀 비율을 똑같이 강제하지 않는다. 그 수치는 승인 예시의 측정값이다.
V5R-007,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,1. 승인된 기준,13,APPROVAL_OR_REFERENCE,SV5_03-SV5_12;SV5_41-SV5_45,3573개의 방 굴착 기록은 독립된 최종 방 3573개를 뜻하지 않는다. 합쳐진 방과 통로가 있다.
V5R-008,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,1. 승인된 기준,15,NORMATIVE,SV5_03-SV5_12;SV5_41-SV5_45,"승인은 시각적 구성 기준의 확정이다. 실제 Unity 실행, 무아이템 완주, 장치 기능, 스폰 확률, 진행 상태는 별도 검증한다."
V5R-009,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,1. 승인된 기준,16,NORMATIVE,SV5_03-SV5_12;SV5_41-SV5_45,예시의 Start·자원·Forge 등은 공간 역할 예시다. 실제 RMAP15 identity·보호 셀·슬롯·좌표는 현지 정본과 연결해야 한다.
V5R-010,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,1. 승인된 기준,17,NORMATIVE,SV5_03-SV5_12;SV5_41-SV5_45,원본 데이터에 정식 변경 없이 예시 좌표를 실서비스 핵심 좌표로 덮어쓰지 않는다.
