recipe_id,seed,status,rule_id,severity,measured_value,threshold,affected_ids,reason
COMPACT_SPLIT_RUN,1924737067,Accepted,ROUTE_TOO_STRAIGHT,Info,7,7,R01_START;R02_COMPACT;R03_COMPACT;R04_COMPACT;R05_COMPACT;R06_COMPACT;R07_EXIT,Main-route row repetition stays within the recipe profile.
COMPACT_SPLIT_RUN,1924737067,Accepted,ROOM_TOO_EMPTY,Info,0.584473,0.8,B01_NORTH;B02_SOUTH;R01_START;R02_COMPACT;R03_COMPACT;R04_COMPACT;R05_COMPACT;R06_COMPACT;R07_EXIT,Open-tile ratio remains below the hollow-room threshold.
COMPACT_SPLIT_RUN,1924737067,Accepted,ROOM_TOO_NOISY,Info,0,1500,OUTSIDE_QUIET,Isolated open fragments remain within the visual-noise threshold.
COMPACT_SPLIT_RUN,1924737067,Accepted,BRANCH_TOO_SHORT,Info,7,4,B01_NORTH,Every branch has the minimum readable direct-route length.
COMPACT_SPLIT_RUN,1924737067,Accepted,BRANCH_TOO_DEEP,Info,0.135593,0.24,B02_SOUTH,Branch depth stays subordinate to the main route.
COMPACT_SPLIT_RUN,1924737067,Accepted,CONNECTOR_CROWDING,Info,34,4,,Connector gate spacing remains readable.
COMPACT_SPLIT_RUN,1924737067,Accepted,VERTICAL_VARIATION_LOW,Info,0,0,R01_START;R02_COMPACT;R03_COMPACT;R04_COMPACT;R05_COMPACT;R06_COMPACT;R07_EXIT,Main-room vertical span meets the recipe profile.
COMPACT_SPLIT_RUN,1924737067,Accepted,BACKTRACK_SHAPE_BAD,Info,4,4,S1,Split/rejoin detour separation remains legible.
COMPACT_SPLIT_RUN,1924737067,Accepted,OPEN_ISLAND_REQUIRED,Info,0,0,C01;C02;C03;C04;C05;C06;C07;C08;R01_START;R02_COMPACT;R03_COMPACT;R04_COMPACT;R05_COMPACT;R06_COMPACT;R07_EXIT,"Every required route, connector, and room-center tile is reachable from start."
COMPACT_SPLIT_RUN,1924737067,Accepted,REPAIR_POLICY_VIOLATION,Info,0,0,,"No fallback carve, silent repair, or rotation was recorded."
COMPACT_SPLIT_RUN,1924737068,Accepted,ROUTE_TOO_STRAIGHT,Info,7,7,R01_START;R02_COMPACT;R03_COMPACT;R04_COMPACT;R05_COMPACT;R06_COMPACT;R07_EXIT,Main-route row repetition stays within the recipe profile.
COMPACT_SPLIT_RUN,1924737068,Accepted,ROOM_TOO_EMPTY,Info,0.580029,0.8,B01_NORTH;B02_SOUTH;R01_START;R02_COMPACT;R03_COMPACT;R04_COMPACT;R05_COMPACT;R06_COMPACT;R07_EXIT,Open-tile ratio remains below the hollow-room threshold.
COMPACT_SPLIT_RUN,1924737068,Accepted,ROOM_TOO_NOISY,Info,0,1500,OUTSIDE_QUIET,Isolated open fragments remain within the visual-noise threshold.
COMPACT_SPLIT_RUN,1924737068,Accepted,BRANCH_TOO_SHORT,Info,7,4,B01_NORTH,Every branch has the minimum readable direct-route length.
COMPACT_SPLIT_RUN,1924737068,Accepted,BRANCH_TOO_DEEP,Info,0.135593,0.24,B02_SOUTH,Branch depth stays subordinate to the main route.
COMPACT_SPLIT_RUN,1924737068,Accepted,CONNECTOR_CROWDING,Info,34,4,,Connector gate spacing remains readable.
COMPACT_SPLIT_RUN,1924737068,Accepted,VERTICAL_VARIATION_LOW,Info,0,0,R01_START;R02_COMPACT;R03_COMPACT;R04_COMPACT;R05_COMPACT;R06_COMPACT;R07_EXIT,Main-room vertical span meets the recipe profile.
COMPACT_SPLIT_RUN,1924737068,Accepted,BACKTRACK_SHAPE_BAD,Info,4,4,S1,Split/rejoin detour separation remains legible.
COMPACT_SPLIT_RUN,1924737068,Accepted,OPEN_ISLAND_REQUIRED,Info,0,0,C01;C02;C03;C04;C05;C06;C07;C08;R01_START;R02_COMPACT;R03_COMPACT;R04_COMPACT;R05_COMPACT;R06_COMPACT;R07_EXIT,"Every required route, connector, and room-center tile is reachable from start."
