task_id,role,actual_or_proposed_path,status,change_reason,predecessor_or_successor
RMAP02_PLAYER,Player prefab baseline,Assets/_Game/Live/Prefabs/CharacterLivePlayer.prefab,EXISTING,reuse bound Rigidbody2D CapsuleCollider2D input and movement components,uses existing live assembly
RMAP02_PLAYER,input snapshot provider,Assets/_Game/Live/Runtime/Input/CharacterLiveInputSource.cs,EXISTING,reuse Player map Move and Jump snapshots,used by CharacterLivePlayerRig
RMAP02_PLAYER,physical movement driver,Assets/_Game/Live/Runtime/Movement/CharacterLiveMovementDriver.cs,EXISTING,adapt solid layer configuration without replacing movement core,uses CharacterLivePlayerRig
RMAP02_PLAYER,physics layer configuration,Assets/_Game/Live/Runtime/Movement/CharacterLiveMovementSettings.cs,EXISTING,bind generated collision layer through existing SolidLayers,used by movement driver
RMAP02_PLAYER,logical bake input,Assets/_Game/Map/Runtime/WorldGeneration/Baking/GeneratedTilemapLayerBaker.cs,EXISTING,consume validated bake plan rather than inventing terrain,produces logical commands only
RMAP02_PLAYER,logical placement input,Assets/_Game/Map/Runtime/WorldGeneration/Baking/GeneratedCellPlacementPlan.cs,EXISTING,preserve cell and provenance authority,precedes logical bake
RMAP02_PLAYER,Unity Tilemap and collider applier,Assets/_Game/Map/Runtime/WorldGeneration/Baking/GeneratedUnityTilemapApplier.cs,PROPOSED,missing runtime Tilemap.SetTiles TilemapCollider2D and CompositeCollider2D bridge,consumes GeneratedTilemapBakePlan
RMAP02_PLAYER,continuous camera follow,Assets/_Game/Live/Runtime/Camera/CharacterLiveCameraFollowDriver.cs,PROPOSED,existing camera driver only snaps by room,coexists with CharacterLiveCameraRoomDriver
RMAP02_PLAYER,isolated physical run scene,Assets/_Game/Map/Scenes/MoonPalace/RMAP02/MoonPalacePlayerTilemapRun_RMAP02.unity,PROPOSED,required real Player Tilemap Collider and camera scene,does not modify RUN04 or CharacterLiveTest
RMAP02_PLAYER,scene builder,Assets/_Game/Editor/MapAuthoring/WorldGeneration/MoonPalace/RMAP02/MoonPalacePlayerTilemapRunSceneBuilder.cs,PROPOSED,follow existing editor scene publication convention,creates only RMAP02 scene
RMAP02_PLAYER,focused logical bake test,Assets/_Game/Tests/EditMode/Map/RMAP02/GeneratedUnityTilemapApplierTests.cs,PROPOSED,uses existing Game.Map.Tests.EditMode assembly,tests explicit bake to Tilemap contract
RMAP02_PLAYER,focused physical scene test,Assets/_Game/Tests/PlayMode/Character/RMAP02/GeneratedTilemapPlayerRunPlayModeTests.cs,PROPOSED,uses existing Game.Character.Live.PlayMode.Tests assembly,proves player reaches exit
RMAP03_GRAB,ledge traversal driver,Assets/_Game/Live/Runtime/Traversal/CharacterLiveGrabDriver.cs,PROPOSED,add ledge-grab state after baseline movement,RMAP02_PLAYER
RMAP04_CLIMB,climb traversal driver,Assets/_Game/Live/Runtime/Traversal/CharacterLiveClimbDriver.cs,PROPOSED,add ladder pole and one-way platform behavior,RMAP03_GRAB
RMAP05_FALL,fall consequence driver,Assets/_Game/Live/Runtime/Survival/CharacterLiveFallConsequenceDriver.cs,PROPOSED,add damage stun death and reset behavior,RMAP04_CLIMB
RMAP06_LOOK,look input driver,Assets/_Game/Live/Runtime/Input/CharacterLiveLookDriver.cs,PROPOSED,add Tab observation and input precedence,RMAP05_FALL
RMAP07_PATTERNS,pattern catalog,Assets/_Game/Map/Runtime/WorldGeneration/MicroPatterns/RmapPatternCatalog.cs,PROPOSED,register 4x4 starter pattern responsibilities,RMAP06_LOOK
RMAP08_PORTS,port catalog,Assets/_Game/Map/Runtime/WorldGeneration/MicroPatterns/RmapPortCatalog.cs,PROPOSED,encode Type 0~4 port coordinates and links,RMAP07_PATTERNS
RMAP09_COMPOSER,small composition service,Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/RunGeneration/RmapComposer.cs,PROPOSED,assemble 12x8 protected composition with bounded reselection,RMAP08_PORTS
