obligation_id,owner_task,requirement,readiness,verification_layer
FAMILY_SV5_08_INFILL,SV5_08_INFILL,Implement reserved shells for SV5_PLACE_08_3479F08218885852|SV5_PLACE_09_0BAFE3A7FA93D31C|SV5_PLACE_10_F83FE72914C9299C|SV5_PLACE_11_E64745F7462770DD|SV5_PLACE_12_391D0CF7A4422180|SV5_PLACE_13_97A1D09E3197EA92,LOCAL_CELLS_STATIC_SCREEN,PLANNED_LAYOUT
FAMILY_SV5_13_JUMP_CONTRACT,SV5_13_JUMP_CONTRACT,Implement reserved shells for SV5_PLACE_07_5EB723EDC1DC3862,PENDING,PLANNED_LAYOUT
FAMILY_SV5_21_LIBRARY,SV5_21_LIBRARY,Implement reserved shells for SV5_PLACE_01_90434AD281C2436C,PENDING,PLANNED_LAYOUT
FAMILY_SV5_24_CAVE,SV5_24_CAVE,Implement reserved shells for SV5_PLACE_00_CD742119708C091F|SV5_PLACE_16_1B9B7A51A39C0013|SV5_PLACE_32_1DC2EC5502596EA9,PENDING,PLANNED_LAYOUT
FAMILY_SV5_26_CANYON,SV5_26_CANYON,Implement reserved shells for SV5_PLACE_02_248027C6A8E3699F,PENDING,PLANNED_LAYOUT
FAMILY_SV5_28_HALL,SV5_28_HALL,Implement reserved shells for SV5_PLACE_03_0F8471A53F911F6D,PENDING,PLANNED_LAYOUT
FAMILY_SV5_29_RANCH,SV5_29_RANCH,Implement reserved shells for SV5_PLACE_05_D9CF52573FB5C952,PENDING,PLANNED_LAYOUT
FAMILY_SV5_30_LAKE,SV5_30_LAKE,Implement reserved shells for SV5_PLACE_06_26E6723B2540BBB9,PENDING,PLANNED_LAYOUT
FAMILY_SV5_31_FARM,SV5_31_FARM,Implement reserved shells for SV5_PLACE_04_CB2B17D440D58981,PENDING,PLANNED_LAYOUT
SV5_07_DISTRIBUTION,SV5_07_DIVERSITY,Repeated-family distribution policy; preserved selection trace.,APPLIED,PLANNED_LAYOUT
SV5_08_INFILL,SV5_08_INFILL,Local actual cells and supported movement; unknown remainder is not AIR or SOLID.,LOCAL_CELLS_STATIC_SCREEN,LOCAL_CELLS
SV5_09_CONTACT_RECHECK,SV5_09_LOOPS,Re-run complete contact projection after loop candidates are added.,PENDING,CONTACT_STATE
SV5_10_SIDEPATH,SV5_10_SIDEPATH,Evaluate optional side-path dead ends against the same reverse-reachability gate.,PENDING,LOGICAL_STATE
SV5_41_COMPOSE,SV5_41_COMPOSE,"Materialize planned envelopes and gates, then promote composed geometry only with collision evidence.",PENDING,COMPOSED_GEOMETRY
SV5_42_FINAL_SCAN,SV5_42_FINAL_SCAN,Run final 3-4 tile gap and 6x6 solid-window scans.,PENDING,COMPOSED_GEOMETRY
SV5_44_PLAYER,SV5_44_WORLD_PLAYER,Run actual whole-world Player traversal after composed geometry exists.,PENDING,PLAYER
SG06_F5_SPARSE_SINGLE_CIRCUIT,SV5_07_08_09,Current places=24; original connections=30; infill rooms=234; infill links=240. SV5_08 local density and SV5_09 loop connectivity are separate obligations.,LOCAL_INFILL_APPLIED_LOOP_PENDING,WHOLE_WORLD_STRUCTURE
